run_date,symbol,earnings_date,score,price_at_flag,outcome_pct,outcome_checked_date
2026-09-24,COST,2026-09-24,59.0,904.7,,
2026-09-24,CCL,2026-09-29,58.5,21.8,,
2026-09-24,TSM,2026-10-15,45.5,446.57,,
2026-09-24,NKE,2026-10-01,42.8,36.05,,
2026-09-24,DAL,2026-10-09,36.5,81.75,,
2026-09-24,COST,2026-09-24,59.0,904.7,,
2026-09-24,CCL,2026-09-29,58.5,21.8,,
2026-09-24,TSM,2026-10-15,45.5,446.57,,
2026-09-24,NKE,2026-10-01,42.8,36.05,,
2026-09-24,DAL,2026-10-09,36.5,81.75,,
